,created_at,date_of_purchase,description,id,last_tag_date,name,serial_number,updated_at
0,2018-01-31T20:05:39.199Z,2018-01-23T00:00:00.000Z,EBot,5a722193c46e6a0aea322cc4,2018-05-23T16:48:50.503+00:00,EBot 62335,62335,2018-02-16T19:41:33.511Z
1,2018-02-16T19:45:43.235Z,2018-01-23T00:00:00.000Z,EBot,5a8734e7f770e1002013f6a5,2018-04-24T23:32:27.636+00:00,EBot 62339,62339,2018-02-16T19:45:43.235Z
2,2018-02-19T16:44:36.566Z,2018-01-23T00:00:00.000Z,EBot,5a8afef405a400001cbc1682,2018-04-24T23:32:54.326+00:00,EBot 62427,62427,2018-02-19T16:44:36.566Z
3,2018-02-19T17:27:30.031Z,2018-01-23T00:00:00.000Z,EBot,5a8b090205a400001fbc172d,2018-04-23T16:05:06.982+00:00,EBot 62435,62435,2018-02-19T17:27:30.031Z
4,2018-02-19T20:11:44.630Z,2018-01-23T00:00:00.000Z,EBot,5a8b2f8005a400001fbc17ba,2018-02-19T20:20:02.911+00:00,EBot 62438,62438,2018-02-19T20:11:44.630Z
5,2018-02-19T20:33:18.536Z,2018-01-23T00:00:00.000Z,EBot,5a8b348e05a400001fbc17c0,2018-02-20T16:42:23.732+00:00,EBot 62440,62440,2018-02-19T20:33:18.536Z
6,2018-02-20T22:16:03.479Z,2018-02-21T00:00:00.000Z,Ebot 60989,5a8c9e23f3a77b0b810925af,2018-02-24T20:17:01.795+00:00,Ebot 60989,60989,2018-02-21T17:40:14.308Z
7,2018-02-21T19:03:44.487Z,2018-02-21T00:00:00.000Z,Ebot 61606,5a8dc290cc640d001c8d52fe,2018-02-21T19:14:25.059+00:00,Ebot 61606,61606,2018-02-21T19:03:44.487Z
8,2018-02-27T16:40:27.165Z,2018-01-23T00:00:00.000Z,EBot,5a9589fba15ef0001c2c3f74,2018-02-27T17:04:30.196+00:00,Ebot 62311,62311,2018-02-27T16:40:27.165Z
9,2018-03-07T19:48:54.962Z,2013-11-27T00:00:00.000Z,EBot,5aa0422671cc2c00277ba004,,EBot 62064,62064,2018-03-07T19:48:54.962Z
10,2018-03-07T19:53:45.485Z,2014-02-17T00:00:00.000Z,EBot,5aa0434971cc2c00277ba006,,EBot 62171,62171,2018-03-07T19:53:45.485Z
11,2018-03-07T19:57:34.054Z,2014-06-24T00:00:00.000Z,Ebot 62308,5aa0442e71cc2c00277ba007,,EBot 62308,62308,2018-03-07T19:59:02.886Z
12,2018-03-07T20:02:16.199Z,,EBot,5aa0454871cc2c00277ba009,2018-05-21T20:01:00.545+00:00,Ebot 61775,61775,2018-03-07T20:02:16.199Z
