,address,comment,created_at,id,location,parent_id,parent_info,survey,user_id
0, Park Lane Drive 15126 United States of America,Pitt,2018-05-23T16:48:50.503Z,5b059b72db74de0b565da705,"[40.4561242807098, -80.1882635490745]",,,,5a9d7349e94c28207a293d0b
1, Shetland Lane 77493 Katy United States of America,modify comment,2018-02-16T19:34:29.030Z,5a873244f770e1001c13f6c0,"[29.7897824, -95.8289471]",,,,5a7220e9c46e6a1646322960
2,5999 Whispering Lakes Drive 77493 Katy United States of America,Test,2018-02-15T16:28:13.348Z,5a85b51d95d1310020600e76,"[29.7918803510518, -95.8278670093864]",,,,5a7220e9c46e6a1646322960
3,,Test 2,2018-02-05T21:13:41.848Z,5a78c90456b4370b2f5df06f,"[29.7897824, -95.8289471]",,,,5a7220e9c46e6a1646322960
4, Shetland Lane 77493 Katy United States of America,Bobby desk,2018-01-31T20:56:05.447Z,5a722d65c46e6a1646322996,"[29.7897824, -95.8289471]",,,,5a7220e9c46e6a1646322960
5, Shetland Lane 77493 Katy United States of America,Shop,2018-01-31T20:45:22.557Z,5a722ae2c46e6a164632298d,"[29.7897728, -95.8293211]",,,,5a7220e9c46e6a1646322960
6, Shetland Lane 77493 Katy United States of America,First test,2018-01-31T20:12:28.230Z,5a72232cc46e6a0aea322cca,"[29.789905, -95.8289137]",,,,5a7220e9c46e6a1646322960
7, United States of America,Berquist 10B,2018-04-24T23:32:27.636Z,5adfbe8cff1f660b4ff555f5,"[48.0382968051807, -103.207781796956]",,,,5a9d75ffe94c28205a293d75
8,534 19th Avenue Southeast 58701 Minot United States of America,John ND trk stk,2018-04-22T22:23:47.294Z,5add0b73dc4b240a52436614,"[48.2127307909228, -101.286069011765]",,,,5a9d75ffe94c28205a293d75
9,500 19th Avenue Southeast 58701 Minot United States of America,Storage,2018-04-21T17:06:29.929Z,5adb6f9632416f002b548399,"[48.2132014781487, -101.28658047027]",,,,5a9d75ffe94c28205a293d75
10,1422 Avenue A 77493 Katy United States of America,Shop test,2018-02-16T19:50:31.745Z,5a873607f770e1002013f6a9,"[29.7932309, -95.8207151]",,,,5a7220e9c46e6a1646322960
11, United States of America,Berquist 13TX,2018-04-24T23:32:54.326Z,5adfbea7ff1f660b4ff555f6,"[48.0477045689272, -103.206088458816]",,,,5a9d75ffe94c28205a293d75
12,500 19th Avenue Southeast 58701 Minot United States of America,John ND stk in trk,2018-04-22T22:09:52.933Z,5add0831dc4b240a5243660f,"[48.2132056714356, -101.28671433216]",,,,5a9d75ffe94c28205a293d75
13,500 19th Avenue Southeast 58701 Minot United States of America,JohnS stk,2018-04-21T16:57:56.077Z,5adb6d9432416f001c548391,"[48.2131720933816, -101.286760284728]",,,,5a9d75ffe94c28205a293d75
14, Shetland Lane 77493 Katy United States of America,Test,2018-04-06T13:56:30.303Z,5ac77c8e478122001c4c8b3c,"[29.7898033, -95.8289523]",,,,5a7220e9c46e6a1646322960
15, Bartlett Street 77493 Katy United States of America,62427 test,2018-02-19T17:17:12.365Z,5a8b069805a400001cbc1708,"[29.792143, -95.8313744]",,,,5a7220e9c46e6a1646322960
16, United States of America,Oasis Crane 3B,2018-04-23T16:05:06.982Z,5ade0433ac456d0020f58ac9,"[48.0530478675775, -103.518667656909]",,,,5a9d75ffe94c28205a293d75
17,507 19th Avenue Southeast 58701 Minot United States of America,John ND trk stk,2018-04-22T22:24:18.632Z,5add0b93dc4b240a68436611,"[48.2133493203347, -101.286293796231]",,,,5a9d75ffe94c28205a293d75
18,519 19th Avenue Southeast 58701 Minot United States of America,Storage,2018-04-21T17:05:39.001Z,5adb6f6332416f001c548397,"[48.2133238995745, -101.286185234271]",,,,5a9d75ffe94c28205a293d75
19, Shetland Lane 77493 Katy United States of America,Test,2018-04-06T13:48:07.742Z,5ac77a99478122001f4c8b5e,"[29.7903146, -95.8290875]",,,,5a7220e9c46e6a1646322960
20, Shetland Lane 77493 Katy United States of America,62435 test,2018-02-19T17:36:08.481Z,5a8b0b0805a400001fbc178e,"[29.7902489, -95.8293518]",,,,5a7220e9c46e6a1646322960
21, Bartlett Street 77493 Katy United States of America,62438 test,2018-02-19T20:20:02.911Z,5a8b317205a400001fbc17bd,"[29.792143, -95.8313744]",,,,5a7220e9c46e6a1646322960
22, Shetland Lane 77493 Katy United States of America,Excel2,2018-02-20T16:42:23.732Z,5a8c4feef3a77b001c092650,"[29.7902691, -95.8292217]",,,,5a7220e9c46e6a1646322960
23, Shetland Lane 77493 Katy United States of America,Excel,2018-02-20T16:40:43.169Z,5a8c4f89f3a77b002b092651,"[29.7902691, -95.8292217]",,,,5a7220e9c46e6a1646322960
24, Dollins Street 77493 Katy United States of America,62440 test,2018-02-19T20:39:49.996Z,5a8b361405a400001cbc176b,"[29.7905813, -95.8292563]",,,,5a7220e9c46e6a1646322960
25, 74th Street Southwest United States of America,Cimarex Shelly 5h,2018-02-24T20:17:01.795Z,5a91c83e8a5720001c691230,"['47.189793', '-122.568116']",,,,5a8c586df3a77b002b0926ab
26, 73114 Oklahoma City United States of America,Test,2018-02-21T17:58:03.884Z,5a8db32ccc640d001c8d52ed,"[35.460827825624, -97.7210712433771]",,,,5a8c586df3a77b002b0926ab
27, 73114 Oklahoma City United States of America,Test,2018-02-21T19:14:25.059Z,5a8dc511cc640d001f8d52e2,"[35.460806768718, -97.7210075233043]",,,,5a8c586df3a77b002b0926ab
28, Shetland Lane 77493 Katy United States of America,62311 test,2018-02-27T17:04:30.196Z,5a958f9ea15ef0001c2c3fe6,"[29.7896948, -95.8289549]",,,,5a7220e9c46e6a1646322960
29, 73114 Oklahoma City United States of America,In shop,2018-05-21T20:01:00.545Z,5b03257c82e4a8001f5f185b,"[35.4600193717795, -97.7216610350118]",,,,5a8c586df3a77b002b0926ab
30,1896 Cr 1280 73004 United States of America,Roan Resources Mine The Bird 1xh,2018-05-23T12:49:44.962Z,5b056369db74de00205da7f1,"[35.1610874059006, -97.7789295931326]",,,,5a8c586df3a77b002b0926ab
31, 73114 Oklahoma City United States of America,In shop,2018-05-21T20:19:43.455Z,5b0329df82e4a8001f5f1863,"[35.4601908557019, -97.7212916221823]",,,,5a8c586df3a77b002b0926ab
32, 73114 Oklahoma City United States of America,In shop,2018-05-21T20:13:08.110Z,5b03285482e4a8001f5f1861,"[35.4601243179587, -97.7215598053003]",,,,5a8c586df3a77b002b0926ab
33, 73114 Oklahoma City United States of America,In shop,2018-05-21T18:45:06.755Z,5b0313b382e4a8001f5f183c,"[35.4604081289988, -97.7214812857377]",,,,5a8c586df3a77b002b0926ab
34, 73114 Oklahoma City United States of America,In shop,2018-05-21T19:28:59.435Z,5b031dfb82e4a8001f5f1852,"[35.4601030279531, -97.7212688340743]",,,,5a8c586df3a77b002b0926ab
35, Shetland Lane 77493 Katy United States of America,Test,2018-04-12T19:20:24.976Z,5acfb178ed0e66001f77cc55,"[29.7898033, -95.8289523]",,,,5a7220e9c46e6a1646322960
36, Shetland Lane 77493 Katy United States of America,Test,2018-04-12T19:07:40.906Z,5acfae7ced0e66001c77cc10,"[29.7900897, -95.8294733]",,,,5a7220e9c46e6a1646322960
37, Shetland Lane 77493 Katy United States of America,Test,2018-04-12T15:40:19.974Z,5acf7de3ed0e66001f77cbef,"[29.7902643, -95.82929]",,,,5a7220e9c46e6a1646322960
38, Shetland Lane 77493 Katy United States of America,Test,2018-04-12T15:37:45.746Z,5acf7d49ed0e66001f77cbee,"[29.7898033, -95.8289523]",,,,5a7220e9c46e6a1646322960
39, Shetland Lane 77493 Katy United States of America,Test,2018-04-12T15:19:33.015Z,5acf7904ed0e66001f77cbe3,"[29.7898033, -95.8289523]",,,,5a7220e9c46e6a1646322960
